### Footprint positions - created on 2026-02-28T21:35:28+0700 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                       Package                                                         PosX       PosY       Rot  Side
BZ1       75dB,3-3V3                MagneticBuzzer_PUI_AT-0927-TT-6-R                           256.7900  -101.6500  180.0000  top
C1        100nF                     C_0603_1608Metric                                           321.4450   -88.0800  180.0000  top
C2        1000uF/35V                C_Radial_D10.0mm_H20.0mm_P5.00mm                            308.0500  -106.3100  -90.0000  top
C3        1000uF/35V                C_Radial_D10.0mm_H20.0mm_P5.00mm                            299.2600   -96.7300  -90.0000  top
C4        100uF                     CP_EIA-6032-15_Kemet-U_HandSolder                           316.4000   -95.5375   90.0000  top
C5        100nF                     C_0603_1608Metric                                           319.0100   -97.9850   90.0000  top
C6        47uF                      C_1210_3225Metric                                           305.5600   -92.8350   90.0000  top
C7        47uF                      C_1210_3225Metric                                           308.9850   -92.8350   90.0000  top
C8        47uF                      C_1210_3225Metric                                           312.4100   -92.8350   90.0000  top
C9        100nF                     C_0603_1608Metric                                           324.3550   -99.5400  -90.0000  top
C10       100nF                     C_0603_1608Metric                                           261.7900   -92.7150  -90.0000  top
C11       10uF                      C_0805_2012Metric                                           263.6300   -92.9300  -90.0000  top
C12       47uF                      C_1210_3225Metric                                           266.3300   -93.5300  -90.0000  top
C13       10uF                      C_0805_2012Metric                                           280.1950   -86.1800    0.0000  top
C14       47uF                      C_1210_3225Metric                                           279.6050   -83.4700  180.0000  top
C15       100nF                     C_0603_1608Metric                                           285.6650   -92.6450  -90.0000  top
C16       10uF                      C_0805_2012Metric                                           287.5175   -92.8650  -90.0000  top
C17       47uF                      C_1210_3225Metric                                           290.2400   -93.4650  -90.0000  top
C18       100nF                     C_0603_1608Metric                                           226.0000   -95.7150  -90.0000  top
C19       1uF                       C_0603_1608Metric                                           227.5500   -95.7200  -90.0000  top
C20       100nF                     C_0603_1608Metric                                           229.1100   -95.7350  -90.0000  top
